match_id,date,stage,status,home_team,away_team,home_goals,away_goals,outcome
537327,2026-06-11T19:00:00Z,GROUP_STAGE,FINISHED,Mexico,South Africa,2.0,0.0,home_win
537328,2026-06-12T02:00:00Z,GROUP_STAGE,FINISHED,South Korea,Czechia,2.0,1.0,home_win
537333,2026-06-12T19:00:00Z,GROUP_STAGE,FINISHED,Canada,Bosnia-Herzegovina,1.0,1.0,draw
537345,2026-06-13T01:00:00Z,GROUP_STAGE,FINISHED,United States,Paraguay,4.0,1.0,home_win
537334,2026-06-13T19:00:00Z,GROUP_STAGE,FINISHED,Qatar,Switzerland,1.0,1.0,draw
537339,2026-06-13T22:00:00Z,GROUP_STAGE,FINISHED,Brazil,Morocco,1.0,1.0,draw
537340,2026-06-14T01:00:00Z,GROUP_STAGE,FINISHED,Haiti,Scotland,0.0,1.0,away_win
537346,2026-06-14T04:00:00Z,GROUP_STAGE,FINISHED,Australia,Turkey,2.0,0.0,home_win
537351,2026-06-14T17:00:00Z,GROUP_STAGE,FINISHED,Germany,Curaçao,7.0,1.0,home_win
537357,2026-06-14T20:00:00Z,GROUP_STAGE,FINISHED,Netherlands,Japan,2.0,2.0,draw
537352,2026-06-14T23:00:00Z,GROUP_STAGE,FINISHED,Ivory Coast,Ecuador,1.0,0.0,home_win
537358,2026-06-15T02:00:00Z,GROUP_STAGE,FINISHED,Sweden,Tunisia,5.0,1.0,home_win
537369,2026-06-15T16:00:00Z,GROUP_STAGE,FINISHED,Spain,Cape Verde Islands,0.0,0.0,draw
537363,2026-06-15T19:00:00Z,GROUP_STAGE,FINISHED,Belgium,Egypt,1.0,1.0,draw
537370,2026-06-15T22:00:00Z,GROUP_STAGE,FINISHED,Saudi Arabia,Uruguay,1.0,1.0,draw
537364,2026-06-16T01:00:00Z,GROUP_STAGE,FINISHED,Iran,New Zealand,2.0,2.0,draw
537391,2026-06-16T19:00:00Z,GROUP_STAGE,FINISHED,France,Senegal,3.0,1.0,home_win
537392,2026-06-16T22:00:00Z,GROUP_STAGE,FINISHED,Iraq,Norway,1.0,4.0,away_win
537397,2026-06-17T01:00:00Z,GROUP_STAGE,FINISHED,Argentina,Algeria,3.0,0.0,home_win
537398,2026-06-17T04:00:00Z,GROUP_STAGE,FINISHED,Austria,Jordan,3.0,1.0,home_win
537403,2026-06-17T17:00:00Z,GROUP_STAGE,FINISHED,Portugal,Congo DR,1.0,1.0,draw
537409,2026-06-17T20:00:00Z,GROUP_STAGE,FINISHED,England,Croatia,4.0,2.0,home_win
537410,2026-06-17T23:00:00Z,GROUP_STAGE,FINISHED,Ghana,Panama,1.0,0.0,home_win
537404,2026-06-18T02:00:00Z,GROUP_STAGE,FINISHED,Uzbekistan,Colombia,1.0,3.0,away_win
537329,2026-06-18T16:00:00Z,GROUP_STAGE,FINISHED,Czechia,South Africa,1.0,1.0,draw
537335,2026-06-18T19:00:00Z,GROUP_STAGE,FINISHED,Switzerland,Bosnia-Herzegovina,4.0,1.0,home_win
537336,2026-06-18T22:00:00Z,GROUP_STAGE,FINISHED,Canada,Qatar,6.0,0.0,home_win
537330,2026-06-19T01:00:00Z,GROUP_STAGE,FINISHED,Mexico,South Korea,1.0,0.0,home_win
537348,2026-06-19T19:00:00Z,GROUP_STAGE,FINISHED,United States,Australia,2.0,0.0,home_win
537342,2026-06-19T22:00:00Z,GROUP_STAGE,FINISHED,Scotland,Morocco,0.0,1.0,away_win
537341,2026-06-20T00:30:00Z,GROUP_STAGE,FINISHED,Brazil,Haiti,3.0,0.0,home_win
537347,2026-06-20T03:00:00Z,GROUP_STAGE,FINISHED,Turkey,Paraguay,0.0,1.0,away_win
537359,2026-06-20T17:00:00Z,GROUP_STAGE,FINISHED,Netherlands,Sweden,5.0,1.0,home_win
537353,2026-06-20T20:00:00Z,GROUP_STAGE,FINISHED,Germany,Ivory Coast,2.0,1.0,home_win
537354,2026-06-21T00:00:00Z,GROUP_STAGE,FINISHED,Ecuador,Curaçao,0.0,0.0,draw
537360,2026-06-21T04:00:00Z,GROUP_STAGE,FINISHED,Tunisia,Japan,0.0,4.0,away_win
537371,2026-06-21T16:00:00Z,GROUP_STAGE,FINISHED,Spain,Saudi Arabia,4.0,0.0,home_win
537365,2026-06-21T19:00:00Z,GROUP_STAGE,FINISHED,Belgium,Iran,0.0,0.0,draw
537372,2026-06-21T22:00:00Z,GROUP_STAGE,FINISHED,Uruguay,Cape Verde Islands,2.0,2.0,draw
537366,2026-06-22T01:00:00Z,GROUP_STAGE,FINISHED,New Zealand,Egypt,1.0,3.0,away_win
537399,2026-06-22T17:00:00Z,GROUP_STAGE,FINISHED,Argentina,Austria,2.0,0.0,home_win
537393,2026-06-22T21:00:00Z,GROUP_STAGE,FINISHED,France,Iraq,3.0,0.0,home_win
537394,2026-06-23T00:00:00Z,GROUP_STAGE,FINISHED,Norway,Senegal,3.0,2.0,home_win
537400,2026-06-23T03:00:00Z,GROUP_STAGE,FINISHED,Jordan,Algeria,1.0,2.0,away_win
537405,2026-06-23T17:00:00Z,GROUP_STAGE,FINISHED,Portugal,Uzbekistan,5.0,0.0,home_win
537411,2026-06-23T20:00:00Z,GROUP_STAGE,FINISHED,England,Ghana,0.0,0.0,draw
537412,2026-06-23T23:00:00Z,GROUP_STAGE,FINISHED,Panama,Croatia,0.0,1.0,away_win
537406,2026-06-24T02:00:00Z,GROUP_STAGE,FINISHED,Colombia,Congo DR,1.0,0.0,home_win
